,C27002_001E,NAME,state,public use microdata area,Unnamed: 4
78,166025,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",36,3705,
79,126860,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",36,3706,
80,131277,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",36,3707,
81,136309,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",36,3708,
82,178796,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",36,3709,
83,148730,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",36,3710,
84,211496,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",36,3801,
85,127505,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",36,3802,
86,137517,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",36,3803,
87,120942,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",36,3804,
88,217926,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",36,3805,
89,197729,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",36,3806,
90,140616,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",36,3807,
91,140776,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",36,3808,
92,164490,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",36,3809,
93,147760,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",36,3810,
94,162942,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",36,3901,
95,129955,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",36,3902,
96,174118,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",36,3903,
97,147093,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",36,4001,
98,143418,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",36,4002,
99,136012,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",36,4003,
100,129242,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",36,4004,
101,108625,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",36,4005,
102,119963,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",36,4006,
103,128739,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",36,4007,
104,157469,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",36,4008,
105,203747,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",36,4009,
106,140822,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",36,4010,
107,112968,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",36,4011,
108,149587,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",36,4012,
109,127148,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",36,4013,
110,162072,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",36,4014,
111,147920,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",36,4015,
112,153142,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",36,4016,
113,189192,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",36,4017,
114,100005,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",36,4018,
115,164712,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",36,4101,
116,179212,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",36,4102,
117,247347,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36,4103,
