,B00001_001E,NAME,state,public use microdata area,Unnamed: 4
97,1601,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",36,3708,
98,2389,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",36,3709,
99,2366,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",36,3710,
100,1990,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",36,3801,
101,1429,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",36,3802,
102,1553,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",36,3803,
103,1444,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",36,3804,
104,1875,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",36,3805,
105,1533,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",36,3806,
106,1594,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",36,3807,
107,1204,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",36,3808,
108,1879,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",36,3809,
109,1697,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",36,3810,
110,2249,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",36,3901,
111,1983,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",36,3902,
112,2788,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",36,3903,
113,2439,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",36,4001,
114,1961,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",36,4002,
115,2070,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",36,4003,
116,2268,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",36,4004,
117,1856,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",36,4005,
118,1766,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",36,4006,
119,1861,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",36,4007,
120,2589,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",36,4008,
121,4229,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",36,4009,
122,2344,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",36,4010,
123,1495,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",36,4011,
